date,rating,review,reviewer,title,ymd
26-09-2022,5,I stayed in itc maratha for one night rooms are very nice and its very Clean. Awesome lobby and service is excellent. Its very near to international Airport. Staff is always ready to give personalised service.,Ajin07,Best Service,220926
25-09-2022,5,We had booked ITC Maratha for a business conference and are extremely happy with the food arrangements. Would like to especially thank Chef Nikhil Merchant and Chef Tushar Bhattacharya. They designed a menu that took care of jain veg and non-veg participants. Moreover the live counter added glitter to gold. After the conference we got a lot of positive feedback about the food. Thanks!,Piyush B,Excellent food arrangements for a business conference,220925
23-09-2022,4,I stayed with them on 9th Sep.,Kranthi_Vizag,Good luxury hotel with scope for improvement in service,220923
12-09-2022,5,Lovely property brilliant staff!,udy11,Lovely property brilliant staff!,220912
11-09-2022,2,This is my first trip to india with no expectation at all. The check-in was horrendously bad i was told to wait for 2 hours so i went to a good Peshwari restaurant and had a great lunch there.,ferrymul,Rundown luxury hotel near airport,220911
01-09-2022,5,ITC Maratha is always a very special place for myself staying with them for 2 decades love the warmth and hospitality.,bharatv121,Wonderful stay great food,220901
31-08-2022,3,Stayed at ITC for a day. ,SMohan76,Visit in august.,220831
24-08-2022,1,Poor Service  Poor Hospitality,JaydeepRajhans,Poor Service  Poor Hospitality,220824
21-08-2022,2,I live in Chicago and here for business thinking this is near the airport so its easy to commute. ,Akshay00000009999,Absolutely terrible due to impossible access to Taxi Ubers. If you are a foreigner be ready to be exploited by taxis,220821
20-08-2022,5,Stayed two nights at the hotel.  Great room and general decor around the hotel.  Very efficient staff.  At the reception Ayesha Jasleen and Urvsashi were quick professional and friendly both at time of check in and check out; ensured that we got the best room available and during the stay constantly inquired with us that we were comfortable.  The Pavilion restaurant is outstanding.  The breakfast buffet spread is one of the best. The staff here have been highly trained; mention must be made of the senior people here: Derrick and Hitesh and the chefs Pravin Vinayak and Sreedhar.  The buffet lunch is not to be missed.  In particular the Rogan Josh the mutton biryani and the Saag ghost are out of this world. Highly highly recommended. While one ejoys the decilacies always available is the superb service by the staff there; cannot list all but some whose names I recollect are Hariprasad Amin and Riva.,mathurpradeep017,Superb lunch buffet,220820
16-08-2022,5,Fabulous stay and fabulous hotel. We walked down 8-9 mins to reach the hotel. Its very convient. Even t2 departure is 4 mins drive,Ankit K,Great place for transit,220816
10-08-2022,5,Peshwa pavilion managed by Chef Pravin. The personal attention to every patron was excellent with emphasis on individual tastes & what not.,PravinA101,Wow food,220810
06-08-2022,5,Akshay Kamble and Mitesh is very co operative and excellent service in my stay.,985maheshb,Memorable stay in ITC Maratha,220806
05-08-2022,5,This was my one of my many repeat visit to this hotel.,nisheethkumart,Positive review & feedback on my Stay at ITC Maratha Mumbai durin end July'22,220805
30-07-2022,5,We would like to express our sincere thanks and Gratitude to Mr Chetan who demonstrated excellent hospitality & service during our dining at Peshwa Pavilion ITC MARATHA Andheri. He was on his toes and always welcomed us with smiling gesture. Recommend for his growth,maninders873,EXCELLENT HOSPITALITY & SERVICE,220730
27-07-2022,1,The stay in this hotel is horrible. Was here for 3 nights hygiene completely neglected. Horrible service had to change my room the first time because the rooms werent cleaned. The second room I got was smelling of sweat. Reminded me of those black and yellow taxis. Will never stay here again and will never recommend this hotel.,Coastal21114411143,HORRIBLE HOTEL NEVER STAY HERE. DO OTHERS A BLESSING BY NEVER Recommending￼ THIS HOTEL. Nothing about this hotel is Good,220727
16-07-2022,5,The team is very courteous humble and approachable for any help - esp. Urvashi Dimple raunak and the front office staff. Top notch hospitality excellent food and good room service!!,Deepak-mupparala,Excellent hospitality!!,220716
11-07-2022,3,Basically it was a good stay in terms of hospitality but i would like to give a review on food that for lunch and dinner they were serving Indian breads which was cold instead of hot and fresh breads and when we asked them for hot ones they gave us the same bread. ,Sanmitrajadiyar,Experience review,220711
10-07-2022,5,Hotel with a luxurious stay in the heart of business city. Have had food with family at Peshwari umpteen times. The Chinese food at Pan Asia is to die for. To savour a South Indian delect one must try out the thali at Dakshin. The Spa decor and ambience at Kaya kalp gives a luxury feel. Overall an impeccable and relaxing stay. Staff is very courteous. ,captanupamc,Luxury Stay worth the pricing !! ,220710
09-07-2022,5,It has been an amazing and cozy stay the staff has been really helpful and welcoming all the time..,BRoshni95,It has been an amazing leisure stay!,220709
04-07-2022,5,I stayed at this hotel for a couple of nights in July 2022. At first I was a little apprehensive about the service I would receive. The great people at ITC Maratha shot this out of the park. The hotel is a bit dated but the people are what makes this place feel like a home away from home.,Savgoa,ITC Maratha! Great people that run this hotel,220704
01-07-2022,5,I stayed in this hotel for 3 days in June. The experience was fantastic. Very polite well mannered staff. Namely Maxime (Concierge) and Lalit and Ketan (bell desk). They greeted me every time with a smile and a namaste. Maxime helped me with everything- from calling in favors to help me shop for my family abroad to getting me in touch with a good courier company that came to the hotel to pick up my parcel. He was quick to respond to all my questions and that helped tremendously. Lalit and Ketan helped me with my bags booking my cabs to go into the city and also helped get me some medicines I needed on the day of my check out. They went of their way to help make my stay comfortable. Will be returning to this hotel for my future stays because of these people that know what real customer service should look like.,316kasturik,Luxury hotel very close to Mumbai international airport,220701
30-06-2022,5,The hotel is very nice and very close to International Airport. We stayed in this hotel for a day because we had an international flight to catch. The food is very good and the staff is amazing. Very smooth check-in and check-out.,advocate_ashishgupta,Good experience,220630
30-06-2022,5,Excellent staff very helful. Urvashi and Muskan from guest relations very cordial and made us feel like home for all the process. The Breakfast is excellent and so is the ambience and the facilities.Love to come back again.,mannarik17,Excellent hospitality,220630
28-06-2022,4,Two years of Covid had taken a toll. Being cooped up inside a 2-bedroom apartment can get trying. So we decided to go for a staycation at ITC Maratha. ,Anindya_Banerjee,Truly luxurious,220628
27-06-2022,5,We had gone on a staycation over the weekend . ,dhruv59,Go for the expectational food and excellent hospitality,220627
26-06-2022,5,Maratha is led by the most humblest person Mr. Aadhaar Sharma. The front desk is an exceptional team special mention to Mr. Kausha Savardekar who went above and beyond to make my stay a memorable one. Maratha is a place that never disappoints. A place that will forever be my second home. Each and every stay will be a memorable and spectacular one. The courtesy and efficiency of each staff is commendable. Until we meet again Maratha. Kudos ️,Fernandes_Abbie,A stay that will be remembered ❤️,220626
20-06-2022,5,I have had amazing and memorable service experience in grand maratha. Urvashi the guest relations has been exemplay courteous service minded and her attention to a guest beyond compare. I wish her glorious service continue to attract more visitors to itc and may she scale in her career.,Aumsairam504,Service and gratefulness,220620
20-06-2022,5,Amazing experience had been here with Family to celebrate my birthday and ITC made sure it was special. ,RandeepG,Amazing experience one cannot miss,220620
18-06-2022,5,Excellent experience with Jasleen kaur and calling experience with harshita. Harshita from reservations had calmly understood my problem and was able to fix the issue.,SatyaR20,Review for Jasleen kaur,220618
18-06-2022,5,I have stayed in multiple properties but this one made an unforgettable impact in its service ambience and staff cooperation. Special thanks to Urvashi from Guest relations team that was epitome of communication and addressing customer queries and concerns. Gorgeous smart lady along with Mr Sushant helped me for early checkin that helped me a lot to deliver my business deliverables efficiently.,gupta_rachit91,Excellent Staff with unmatched amenities 👌,220618
17-06-2022,5,From front desk to Rooms butler service and restaurants everything was perfect.,Indrajit39,An oasis of luxury and efficiency.,220617
17-06-2022,4,I have stayed at this Hotel many times. ,Quest35721429690,A Low in my experiences at ITC Maratha,220617
17-06-2022,1,We checked into ITC Maratha as we had a wedding to attend there. Our room had small cockroches. The headstand of the bed was falling apart and the carpet looked never cleaned. Very disappointing.  We will never visit again. Even the gym was unclean. The mats were dirty. ,Yogini S,Horrible hygiene,220617
16-06-2022,4,The check in process is seamless and staff are co operative.Room looks quite ordinarygetting foul smell have to call the staff for room spray. Food menu is just adequate but as usual seen in ITC hotelsfood quality is very good in the Breakfast and Dinner.,padma2nicky,Room needs upliftment,220616
16-06-2022,5,Truly Indian hospitality. Loved every action from the hotel. Starting from Front Desk to Resturant to Room. Everyone only speak one language. “Whats best for guest is best for ITC”. ,jainsripal,Truly 5 Star Experience,220616
13-06-2022,5,Please to provide this review about the profession service provided at ITC Maratha.,Tapan5523,Quality of service,220613
13-06-2022,5,We thoroughly enjoyed our stay. ITC Maratha is an absolutely magnificent hotel. Staff is very humble and cooperative especially Raunaq a 23 year old sweet fellow from Rajasthan who served us dinner and harihar the guy who came to clean our room late in the night after we accident spilled coffee on the hotel floor oops! ,aastha_s1811,Aastha & Shourya,220613
13-06-2022,1,Where do I begin? ,kindaweirda,Boring Everything,220613
11-06-2022,5,Had a great experience staying At ITC Maratha  The Staff is Humble and Attentive . ,Himal P,Amazing Experience,220611
11-06-2022,5,Beautiful stay quality of service was excellent. Specially Tyson at front desk made our checkin and stay at an ease. In addition Jasleen Kaur from GSE was outstanding to ask for all possible feedbacks. ,ranjanasarkar,Ranjana sarkar,220611
11-06-2022,4,Excellent property with close proximity to the airport. Room 1626 was spacious and had  everything needed. ,mandarkanetkar,Great stay at ITC,220611
10-06-2022,5,ITC Maratha is truly a great please to unwind and relax. The hotel is beautiful with a great lobby and the coffee shop which is looked upon by the floors and beautiful palm trees. ,ayelangar,ITC Maratha- Luxury in its true self!,220610
07-06-2022,5,It was a wonderful time with ITC Maratha. I am platinum of Club ITC and they had give us all the benefit what platinum member is entitle. Mr. Dimple had took express check-in and that was very help as I had travel from way. Door man and bell boy was happy to help us to arrange taxi. ,899dhavalp,Vacation Stay,220607
22-05-2022,5,Staycation At Its Best!,vivek k,Staycation At Its Best!,220522
16-05-2022,5,Had a wonderful stay and the staff was amazing and made us feel like home. ,101saleema,Appreciation,220516
13-05-2022,5,Hospitality and lovely people - that is what ITC Maratha treats you with,rajesh_the_traveller,Hospitality and lovely people - that is what ITC Maratha treats you with,220513
08-05-2022,5,I have been traveling to Bombay on business for many years now. It was in the lockdown period I started frequenting the ITC Maratha and my experience has been fantastic till date they take excellent care of your needs as a guest the staff is very courteous. The duty manager Chandranath is a excellent ambassador of the hotel. It is very conveniently located so suits my needs and the restraurants are outstanding. So overall a must stay premium property of Itc worth staying all ways.,SiddharthJ28,A Second Home,220508
07-05-2022,5,ITC Maratha has always been an amazing experience with a great hospitality. I was celebrating my sister's birthday in April and i would like to thank Maxim for helping me make it the best one for her. Maxim is very helpful and provided with excellent service. Wonderful experience!,MKomal,Excellent hospitality!,220507
06-05-2022,3,I had high expectations as it is an ITC hotel in a place like Mumbai. But starting from check-in which was incredibly slow I was quite disappointed with the overall ambience. I personally would rate ITC Maurya New Delhi where I have often stayed as a decidedly more well put together place with that additional luxe factor.,gargichat,Nothing Extraordinary ,220506
01-05-2022,5,This was our second time at ITC Maratha Mumbai and with every visit we fall more in love with this place! We made an impromptu last minute booking and the staff was very accommodating and super polite. Our special requests were taken into consideration and in spite of being fully booked we were given a late checkout. ,sanjana_kevin,A wonderful stay at ITC,220501
01-05-2022,5,Our Air India flight from US was delayed by a day and a half. The reservations at the hotel were very helpful and accommodated us when we arrived after a long journey in the middle of the night. Thanks to Mr. Mohd. Ali and others.  Restaurant is excellent.  Great service by Gaushiya Khan. Thanks for a memorable stay.,mathurpradeep017,Extremely helpful.,220501
29-04-2022,5,This is a majestic hotel - featuring the grandeur & amenities one would expect of a hotel of this caliber. But what truly sets it apart is the hospitality and courteousness of the staff - starting with the finely attired doormen the Front Desk the Guest Relations team the Concierge Room Service and Housekeeping crew. The politeness that India can be famous for is on full display at this hotel. That aside the rooms are finely appointed and the beds divine. We will definitely be back.,66DM,Excellent stay - incredibly warm & hospitable staff,220429
28-04-2022,5,This is one of the best hotel experience I had in my life. The hotel is super clean luxurious! The staff was super helpful friendly. Maxim was the problem solver guy! Special thanks to Maxim. 5️. He helped me sending a gift to another city through a trusted courier which reached in just a day! Thank you all!,gevb2013,Best customer support great experience clean hotel awesome team,220428
26-04-2022,5,We had a wonderful experience with planning a last minute surprise for the Bride and Groom. Thanks to Jasleen she made it possible at the nth hour. We had a wonderful stay with the entire hotel staff being very friendly and caring. Right from the service desk to housekeeping we had a great experience with each and every staff members,Sniggu,Wedding,220426
25-04-2022,5,The ITC Maratha is located very close to the Mumbai airport and is a destination for pure luxurious stay. Rooms are spacious with pleasing ambiance and upscale amenities. WiFi is fast and covers entire property. ,Praveen M,True to its name.,220425
23-04-2022,5,I have stayed in this Hotel twice in the last one year and undoubtedly this is going to be my first choice when traveling to Mumbai. Everything is just superb about this hotel. Food service cleanliness hospitality location room sizes everything. The Swimming pool is clean and beautiful. The check in/out process is somewhat slow/sluggish and needs improvement. Overall a good job being done by all in the Team. Kudos !,ARVINDAhmedabad,A Gem,220423
19-04-2022,5,We had an amazing stay in ITC Maratha. To be frank in the last 4 years i have stayed in couple of ITC properties. ITC Maratha surely bags the top spot for me.,CharanjitJassar,Mesmerizing stay Experience  Extremely helpful staff,220419
17-04-2022,5,We stayed  in ITC Maratha  Mumbai for a couple of days.  We had a peaceful stay and loved the food served. Service was prompt and anything we requested was promptly made available.  Thank you for a wonderful experience.,Sridp,Stay in ITC Maratha,220417
15-04-2022,5,Great hospitality. It is truly a luxury property ,Rushikesh1100,Amazing stay,220415
14-04-2022,5,We had a lunch buffet party for 32 people. The spread was excellent. The food quality was obviously 5* level. The chief chef mr Nikhil personally met us to see if any special requirements. A few amongst us were Jain and their food was prepared in a separate kitchen. The chaat counter chef (mr Sitaram?) was very enthusiastic to feed us well.,Damanig,Excellent lunch buffet and service,220414
14-04-2022,5,Had a great stay at ITC Maratha absolutely loved dinning at Peshawari restaurant if you are looking for authentic afgani cusine this place is for you. Loved the pool ambience enjoyed swimming after long. Lobby could be better though. Upper crust lounge is very nice and has a calming effect as it gives you a wonderful view of the entire hotel.,shelovesclassy,Beautiful hotel,220414
14-04-2022,5,On 9th of April '22 had sent Gift Cake and Bouquet from the hotel for the Belated Celebration of my Friends Birthday. ,IshanGanguly,Most Mesmerizing Service from ITC Maratha !!!,220414
13-04-2022,5,Very nice and sophisticated hotel. Luxury meeting rooms and dining rooms.,jamesequity,Great place for a seminar,220413
12-04-2022,5,Great location really pleasant and clean rooms. We had a room with a pool view which was quite a treat. We stayed here just for a night and were greeted with best customer service especially Druvi from Guest relations was very generous helpful with the incredible food recommendations. Will definitely come at ITC when we are in Mumbai. It is totally worth it.,Nehaasingh29,Excellent stay,220412
11-04-2022,5,A memorable staycation at ITC Maratha courtesy their wonderful team.,NavinAggie,A wonderful staycation thanks to ITC Maratha's team,220411
09-04-2022,5,I am indeed happy with my stay at the restaurant. Ms.Pooja at guest services took special care to make the stay memorable as it was for a birthday occasion that we had booked our room. She will be my person if ever I have to plan an occasion at ITC. We have always had a wonderful experience at our stay and visits here. ,484nikithat,Extremely happy with my visit and service,220409
09-04-2022,5,Usually not a person to write reviews but couldn't resist writing one for my stay at ITC Maratha..when we checked in Saurabh at the front office checked us in. He was so courteous and explained everything in detail along with being patient with our crying kids. The room was immaculately clean and had all comforts one needs for a holiday. We ordered room service and the food was excellent - they made rice and lentils for our kids with no spice on special request. I want to mention 2 people at the breakfast as well who really went way and beyond to help me imran chaudhry and Angad yadav. I only stayed for one night but I wish it was a longer stay. On our way out I met the front office manager Aadhaar Sharma who came and checked if our stay was comfortable. He was so polite and welcoming that I can't wait to go back and can't stop raving about the hospitality.,Namrata2022,ITC - Maratha,220409
09-04-2022,5,Thanks to Aadhar Sushant Hitesh Kapil Maxim Concierge Bell Desk Valets & Doormen for a Wonderful Hospitality and Happiness Experience. ,Ashwin V,ITC Maratha Mumbai - a Luxury Collection Hotel,220409
07-04-2022,3,Stayed here for 2 nights and was rather disappointed for a 5 star hotel.,queenspr,Not a 5 star experiance,220407
06-04-2022,5,My overall stay experience is excellent.  Mr Rohit had selected a very elegant and comfortable room for me. He also made my check-in and check-out experience very comfortable. Chef Parvin Patel ji had given personal attention during my breakfast. Ms Anjali always arrange table for me as early as possible for breakfast.  Ms Sakshi and Mr Sawant had served food very quickly. Shafan Adrian and Ajay ji. P they take care of my language handling and security checking whenever I had returned  back to hotel and going outside the hotel. ,aggarwald24,Room are beautiful. Breakfast & food served in the restaurant were very delicious. Hotel is at walking distance from T2 Mumbai ,220406
05-04-2022,5,I am glad to write this review about this beautiful property this place charmed me with it's comfort and luxury The staff of this property are courteous HelpfulAccmodative in every way and always ready to solve all your queries specially Thanks to trip advisor for giving me this platform to express my view and Mr Aadhar fromFOM and Taslim from Guest Relation Team of this property. ,guruchaya,Wonderful stay,220405
05-04-2022,4,In general a good hotel. Nothing a lot around but rooms are well equipped large and above average. Staff is experienced and professional. Food and beverage wise you have a lot of options. Bur room service is not cheap even in India standards. I may recommend.,Berat B,One of he good around airport,220405
04-04-2022,5,I do not know where to start but i must say that right from check-in to check out my stay was completely worth it. Vanessa from the Guest Relations helped me out as i was celebrating my wedding night she made it very special. Check in was smooth given a very warm welcome walking me up to the room very explaining me the timings of the restaurants and the facilities offered. The room alloted was beautiful it had a pool facing view with a walk-in closet and a spacious bathroom. I was offered a coconut water as welcome drink which was really refreshing. Thanks to Prajakta and Annalisa for arranging the cake which was delicious.Pooja and the housekeeping team very well decorated the room while i headed out for my wedding. She made all the arrangements just as i wanted. Highly recommend this property for its warm hospitality and  hardworking staff.,Journey59332669331,A stay to remember,220404
04-04-2022,5,As always ITC Maratha provides an unparalleled experience. Kudos to the team Udit Chandranath and Saurabh who are as helpful as ever. Prefer to stay at the Maratha always because of the these amazing team members always putting the guest first attitude of these guys is indeed a delight. ,atishaya96,Pleasent stay at ITC Maratha,220404
04-04-2022,5,A hotel with true luxury,Soham123780800,Excelllent Stay,220404
03-04-2022,5,ITC Maratha has become a special place for us.. All our celebrations in this year have happened here.. Having people like Udit and Pooja in the team makes the stay memorable everytime.. I went there for my Bday celebration and the team took extra care to ensure I have a memorable day :) I would highly recommend it for anyone who is looking for a Staycation and does not want to bother travelling a long distance out of Mumbai for a Luxurious stay :),Jain_rashi88,Amazing Stay !!,220403
24-03-2022,5,It's been five years now that I have been regularly staying at this property on my business trips (minus the COVID restricted years) and the hospitality here is a certain highlight - top ITC standard. ,Ajitabh_Sarin,A great hospitality experience...everytime!!!,220324
20-03-2022,4,This is one of the best of all luxury hotels I have stayed in Mumbai. Loved the fresh energy of this place and the lovely Indianised interiors. Rooms are very fresh and well designed. Staff also very sweet and helpful. Special mention for Jasleen and Urvashi..very hospitable.,Aai27,Memorable stay at ITC maratha,220320
18-03-2022,5,It was a great and fabulous experience. It is as per its name a luxury hotel with great historic interiors. The staff were kind and very helpful especially Ms. Jasleen was very good at assisting. A must visit property,Mani2702,Luxury at its best,220318
17-03-2022,5,Inspired by the Maratha dynasty it certainly does well to recreate a sense of royalty with the warm welcoming Indian hospitality and of course in keeping to it's central theme- the Marathas. The staff doesn't fall short at any point always impeccable in their service on that note I'd specially like to mention Vanessa and Pooja who certainly live up to that. Thank you for making my stay memorable.,Lunaea89,An amazing experience as always,220317
16-03-2022,5,ITC Maratha features interiors that express a fusion of the old with the contemporary and the richness of Maharashtrian art.,Dhyey_09,Excellent Stay and amazing experience.,220316
11-03-2022,5,The quality of the room was very nice. Staff are always available to help and remain genuinely hospitable. The breakfast was quite healthy and yet very flavourful. Special shout out to the staff at the restaurant for being ever so attentive even though the rush was quite significant. Overall a great experience.,Ashok M,Highly recommended,220311
11-03-2022,5,lhad very great experience at ITC maratha ,royajitt,excellent stay at Itc,220311
10-03-2022,5,Felt spoilt and pampered.,vabby1984,Felt spoilt pampered and thankful,220310
10-03-2022,5,I had such a great experience at the ITC Maratha right from check in till I left the hotel. ,Natalie P,They go the extra mile…great experience! Will stay there again.,220310
08-03-2022,5,Came here to celebrate parents anniversary. They usually do a cake since my dad is diabetic they got a sugar free mousse for him instead. Our stay was very comfortable pool was well maintained and breakfast buffet was exceptional. Thank you for your excellent service.,prerna992,Leisure trip,220308
08-03-2022,5,The hotel staff is very warm with facilities being Upto the mark including the food quality of rooms & spa.,Pathik_Mehta,ITC Maratha Stay Excellent experience,220308
08-03-2022,5,It was my birthday and the overall experience was just perfect. The team operating that day made sure that they left no stone unturned to make this day really special. The gift cards birthday cake photo frame and pillows with my name etc just was very unexpected and felt really great .,Rutvajp,Amazing Experience at ITC Maratha,220308
07-03-2022,5,Visited the property after 2.5 years the hotel was lively and staff maintaining the ITS standard of courtesy and hospitality. Despite the wedding bookings the staff will spare the time to talk to you and check if you are comfortable They will seek your preference. Can you believe they asked at 10 PM in night that if I would like my tea to be delivered to the room (they are aware that I love to have tea when I check in). Great spirit and energy of the team who made us comfortable. Best of luck to them all,ghost_busters2000,Show goes on,220307
07-03-2022,5,The staff were excellent checking and checking out was great and at speed. Caterinq staff were great nothing was hard to please you nor was any trouble to accommodate. The concierge (Samual) knew stuff. ,Venture463648,Excellent 3 nights stay,220307
06-03-2022,5,Sheer Luxury Hospitality,Ayushdk,Sheer Luxury Hospitality,220306
05-03-2022,5,It was a great stay at ITC Maratha. Ambience is really good in line with it's name. Food variety and taste was also very good. Staff is very friendly and helpful. There were few minor concerns which were promptly resolved by the staff. Cleanliness and COVID safety protocols are being followed strictly. I would definitely recommend this hotel for a staycation!,Sheetalng43,Awesome ambience food and services!,220305
02-03-2022,5,I travelled to Mumbai to meet a couple of friends and booked a couple of nights stay at ITC Maratha. One of the best properties Ive stayed at. Amazing hospitality great food and exceptional service from the team. Special thanks to Ms. Mahima Singh for handling all my check in and check out procedures without any hindrances. She provided me a host of room options to choose from and also assisted in a slew of various restaurants to visit. ,Arvind-Mahesh,Exceptional Hospitality,220302
02-03-2022,5,As a loyalty member  I was upgraded to suite and since it happened to be my birthday rooms were decorated with balloons and a cake was placed in the room. Launge access was the real icings on the cake. Mr. Adhar Sharma who was in charge of front office took special care took us directly to the room and saw us of. It was an experience par excellence and memorable indeed!,Mahabaleshwar P,Memorable Stay ,220302
01-03-2022,5,Pooja was very kind and made some really sweet arrangements in the room prior to our arrival. Not to mention Adrian the bell boy was a very kind old man who assisted in bringing our luggage down. We enjoyed our stay! Thank you team ITC Maratha.,CarnivalMardiGras,Warm hospitality,220301
25-02-2022,5,Excellent stay…. Great service provided by Aadhar Sharma and his team starting from a upgraded room based on our Platinum status. And Smooth check in check out by his team. ,dhilank2015,Warm Homely stay,220225
23-02-2022,5,What an experience it was at ITC MAHARATHA when greeted with a smiling face by Mr. Aman .,HimanshuD771,Great to stay ITC Maharatha,220223
21-02-2022,5,We visited ITC Maratha to celebrate my Dad's birthday and opted for buffet dinner at the coffee shop. The food was topnotch and the spread was wide. Right from starters to the dessert there were so many options and everything tasted amazing. Also the hospitality by the staff for arranging few dishes on the table was warming and we had a great time.,ashisht20,Amazing Food great hospitality,220221
20-02-2022,5,We were looking to enjoy a staycation and decided to revisit ITC Maratha.,Renzo_Fernandes,Outstanding Staff,220220
20-02-2022,5,very memorable stay at ITC Maratha at the Mumbai Airport  Their lounge is so good with variety of hard drinks availble along with a few snacks. Further we enjoyed the Asian restaurant there which had chinese and japanese food. very food taste and large quantities.  could not finish. we were taken care at the check-in counter by the front office Manager Mr A. Sharma who was very quick in alloting our room and issuing the keys making it the fastest check in  when compared to other hotels. overall a good experience ,Nimesh66,Wonderful stay,220220
19-02-2022,5,Fantastic property in Mumbai closer to airport. Rooms are quite spacious and luxuriously comfortable. Hospitality and Service is extremely good across the hotel but would call-out the super helpful duty-manager Ramsha. She takes all extra-steps to ensure there is stay is comfortable and provides best suggestions.,kpraneeth,Stayed 4 months now its almost my second home,220219
19-02-2022,1,Warning - do not sign up for Club ITC ,Weebly2013,Warning - do not sign up for Club ITC ,220219
15-02-2022,5,It was an amazing stay... first time in this property absolute wonderful hospitality with amazing staff. Start from arrival to room and food all were amazing. ,511siddhantm,STAY ON 12TH FEB,220215
13-02-2022,5,Itc Maratha a grand name. ,subhamlohia1990,Business stay. ,220213
12-02-2022,5,Stayed in ITC Maratha before covid as business traveller for more than a week and now on leisure travel. ,Dream602029,5 start stay experience ,220212
12-02-2022,5,Me and my husband were here for 1 day and it was truly delightful. The service is top notch. The best part about the ITC brand is the environmentally friendly initiatives. This is the only hotel where I haven't seen one single use plastic even for toiletries. The food spread is quite vast and delicious especially the desserts. The desserts are too good.,sreeshtik2021,Honeymoon,220212
12-02-2022,5,I would love to thank Anshuman Aditya (Housekeeping department) and Ramsha and Chandranath (Reception).,Drhimanisingh,Room no- 1630,220212
08-02-2022,5,I had a memorable stay at the property the suite is extremely gorgeous. The food is to die for the in room breakfast was scrumptious. The dosa has made a special place in my heart the best dosa in town. ,Sawhney10,Memory,220208
07-02-2022,5,ITC Maratha is the best place to stay in Mumbai. I have stayed in many properties as I am a frequent traveler but never have I loved any other place in terms of hospitality. Kapil Dubey is the most helpful manager you can find here. One more reason for choosing this place is the food. Food is beyond awesome. Restaurants are never empty here and buffets are full of delicacies. Rooms feel cozy not like some typical hotel room and that's why you can stay here for long durations without getting that hotel room sickness. Staff is quick when you need them for anything. Gardens are beautiful to roam around and it's near the airport so very convenient.,kanikamishra3,Best place to stay in Mumbai,220207
